trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,True,"{'a': 0, 'e': 0}",25,7,32.94623298338898,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,True,"{'a': 0, 'e': 0}",20,16,8.246541505560877,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,True,"{'a': 0, 'e': 0}",30,14,24.946147748968386,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,True,"{'a': 0, 'e': 0}",30,17,21.793251700768536,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,True,"{'a': 0, 'e': 0}",25,15,21.868734299483712,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,True,"{'a': 0, 'e': 0}",25,11,24.95373328217236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,True,"{'a': 0, 'e': 0}",25,19,11.555054826438917,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,True,"{'a': 0, 'e': 0}",25,11,20.783462681066354,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,True,"{'a': 0, 'e': 0}",25,11,24.879283783106064,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,True,"{'a': 0, 'e': 0}",20,9,17.420994369773897,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
