trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
517,True,"{'a': 0, 'e': 0}",20,14,11.361199900727609,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,True,"{'a': 0, 'e': 0}",20,10,16.430876841363652,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
519,True,"{'a': 0, 'e': 0}",20,13,13.922724000903564,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,True,"{'a': 0, 'e': 0}",25,13,16.043762244377643,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,True,"{'a': 0, 'e': 0}",35,18,28.29922145168448,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,True,"{'a': 0, 'e': 0}",30,10,38.614376007286225,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,True,"{'a': 0, 'e': 0}",20,3,20.905095969923615,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,True,"{'a': 0, 'e': 0}",30,13,29.14181233313978,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,True,"{'a': 0, 'e': 0}",25,8,33.04388983111977,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,True,"{'a': 0, 'e': 0}",30,15,28.978895084117376,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,True,"{'a': 0, 'e': 0}",25,16,17.098448325868617,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,True,"{'a': 0, 'e': 0}",20,6,28.32603438545543,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,True,"{'a': 0, 'e': 0}",25,8,31.78336294148479,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,True,"{'a': 0, 'e': 0}",20,9,19.360233764450403,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,True,"{'a': 0, 'e': 0}",35,9,42.67647563145759,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,True,"{'a': 0, 'e': 0}",20,6,25.01246156155489,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,True,"{'a': 0, 'e': 0}",35,18,21.24165263582046,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
534,True,"{'a': 0, 'e': 0}",20,6,23.029684707687167,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,True,"{'a': 0, 'e': 0}",20,8,21.285781460235935,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,True,"{'a': 0, 'e': 0}",35,22,24.200165064248022,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,True,"{'a': 0, 'e': 0}",25,13,19.468576972678733,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,True,"{'a': 0, 'e': 0}",20,12,15.378474232735138,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,True,"{'a': 0, 'e': 0}",20,8,20.85300028444476,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,True,"{'a': 0, 'e': 0}",20,5,20.4013788418479,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
